Japanese Title,English Title
はてなって反イスラエル多過ぎじゃない？,Isn't it too many anti -Israel?
「もっと兵士を産め」 ロシアで中絶阻止の動き強まる,"""Birth more soldiers"" In Russia, the movement to prevent abortion is stronger"
転職時に無職になる手続きをインターネットでする,"On the Internet, you will be unemployed when you change jobs"
ウィンドウズ１０サポート終了でパソコン2.4億台廃棄も＝調査,Windows 10 Support End of 2400 million PCs = Survey
40代半ばの就職氷河期の経営者が「いざこの年齢になってみても活躍してる同級生に殆ど会った事が無い。数は多いはずなのに」と言っていた,"The manager of the employment ice age in his mid -forties said, ""I have hardly met a classmate who is active in this age."
上皇さま きょう90歳の誕生日 卒寿を迎えられる | NHK,The Emperor Sama 90th birthday graduated | NHK
ハマスって何が狙いで大規模攻撃を仕掛けたの？,What did Hamas aimed for a large -scale attack?
反転攻勢「失敗」のウクライナ、50万人動員検討の背景は　小泉悠氏：朝日新聞デジタル,"Ukraine in the reversal offensive ""Failure"" is the background of 500,000 mobilization, Yu Koizumi: Asahi Shimbun Digital"
社会保険料、実は100億円増　政府、負担「軽減」と説明 ｜ 共同通信,"Social insurance premiums, actually increased by 10 billion yen, burden ""reduction"" | Kyodo News"
6年行方不明でフランスで発見されたイギリス人少年、母を守るためうそをついたと英紙に - BBCニュース,"British boy who was missed in France for six years, lying to protect her mother -BBC News"
三陽商会「バーバリーショック」から復活？ 7期ぶり黒字の裏側,"Revived from Sanyo Shokai ""Burberry Shock""?The back side of the surplus for the first time in the 7th term"
｢日本語通じない若者｣どんどん増えてる根深い訳,"""Youth who can't speak Japanese"" is getting deeper and deeper"
ウクライナ軍がアウディーイウカで苦戦する理由、陣地を守る兵士がいない,"The reason why the Ukrainian army struggles with Audi Uka, there is no soldier to protect the base"
中国、オンラインゲームの新規制案公表　利用者の支出抑制狙う,"New control of online games, China, aim to suppress spending of users"
ガザ紛争2021 現地ではあのとき何が｜NHK NEWS WEB,Gaza conflict 2021 What happened in that time | NHK News Web
マクドナルドは高い、100円ショップに行く…物価高に苦しむ「平均年収443万円」の深刻実態（現代ビジネス） - Yahoo!ニュース,"McDonald's goes to a 100 -yen shop ... Serious reality of ""average annual income of 4.43 million yen"" that suffers from prices (modern business) --Yahoo! News"
ウクライナ、国外居住の男性国民に兵役に就くよう要請へ - BBCニュース,"Ukraine, request for male people living in abroad to get military service -BBC News"
米スタバＣＥＯ、ガザ紛争巡る抗議の中止要請　「ＳＮＳの誤情報に影響」,"US Starbucks CEO, Gaza conflict request cancellation of protests ""Impact on SNS misfire"""
中国、オンラインゲームの過度な支出抑制へ－対策強化,"China, online games to control excessive expenditures -enhanced measures"
パレスチナ人の大多数、イスラエルに戦争仕掛けたハマスを支持　政治的解決は見えず,"Most of the Palestinians, Hamas, who had a war in Israel, did not see"
【米大統領選2024】 コロラド州での敗訴、トランプ氏にとって「金脈」となる可能性も - BBCニュース,"[US presidential election 2024] Losing in Colorado, the possibility of ""gold vein"" for Mr. Trump -BBC News"
