Japanese Title,English Title
こんなエンジニアリングマネージャだから仕事がしやすいんだなぁと思う10個のこと - Mitsuyuki.Shiiba,I think it's easy to work because it's such an engineering manager -mitsuyuki.shiiba
マイクロサービス化は本当に難しい,Micro service is really difficult
双安定ヒンジキャップについて | Nature Architects inc.,About twin stable hinge caps | Nature Architects Inc.
本当は教えたくない2023年の英語・日本語フリーフォント120選【商用可】,I don't really want to teach 2023 English and Japanese free fonts 120 [Commercial]
開発生産性とどう向き合うか | DMM Meetup #39,How to deal with development productivity | DMM Meetup #39
「昔のインターネットの面白さ」を言語化するとこんな感じで合ってる？,"Is it like this when you verbalize ""the fun of the old Internet""?"
6年のスケジュールの変化 - Konifar's WIP,Changes in 6 years of schedule -Konifar's Wip
大規模言語モデルとそのソフトウェア開発に向けた応用,Applied for large -scale language models and its software development
「定年まで逃げ切れなかった」デイリーポータルZ独立　林さんに聞く不安と希望「もう一度、インターネットらしく」,"""I couldn't escape to the retirement age"" Daily Portal Z Anxiety and Hope to hear from the independent forest ""Once again, like the Internet"""
「Flutter」＋「OpenCV」でのアプリ開発を丁寧に解説した書籍が技術の泉シリーズから発売／『OpenCVとFlutter 2つ合わせてマルチプラットフォームアプリを作ろう!』【Book Watch/ニュース】,"A book that carefully explains the application development of ""Flutter"" + ""OpenCV"" from the Technical Izumi Series/""Let's make a multi -platform app with two OpenCV and Flutter!"" [Book Watch/News]"
RustによるマクロサービスフレームワークSpin入門,Introduction to Macro Service Framework by Rust
フリーランス症候群「このままでいいのか病」を患ったのでマネーフォワードに入社しました。｜イシジマミキ,"I joined Money Forward because I had a freelance syndrome ""Is it okay to do this?""｜ Ishijimamiki"
ノーコードツールの高度な処理をコードで実装！iOS・macOSのショートカットアプリで手軽に定形プロンプト - エムスリーテックブログ,Uncoded tools are implemented with codes!Easy fixed -form prompts with iOS / MacOS shortcut apps -Emri -tech blog
Cloudflare Pagesにおける権限昇格と任意ページの改竄,Promotion of authority in Cloudflare Pages and tampering of arbitrary pages
マルウェアを使わなくなった攻撃者たち　代わりに用いられる手法とは？,What are the methods used instead of the attackers who no longer use malware?
発掘された2400年前の革、人間の皮膚でした,"The leather 2400 years ago, the human skin"
【裏技】Lambda の固定IP化にまだ NatGateway 使ってるの？,[Skills] Are you still using Natgateway for fixed IP of Lambda?
グッドパッチ流、PdMの「スキルマップ」を作ってみた｜Goodpatch Blog グッドパッチブログ,"Good patch style, I made a ""skill map"" of PDM | GOODPATCH BLOG Good patch blog"
VR上のオブジェクトを「触る」「つかむ」「持ち運ぶ」仕組みを実装しよう | gihyo.jp,"Implement the ""touch"", ""grab"" and ""carry"" mechanism to the objects on the VR | gihyo.jp"
[DATAで見るケータイ業界] 堅調に契約数を伸ばす楽天モバイル、次の焦点はARPUに,"[Mobile phone industry seen in Data] Rakuten Mobile, which is steadily increasing the number of contracts, the next focus is on ARPU"
ビジネス、開発、四方山｜naoya,"Business, development, Mt."
Azrueのプロダクト名のtypoを検知するtextlintのルールをnpmで公開してみた - Alternative Architecture DOJO,I tried to publish the Textlint rules for detecting the Typo of AzRue's product on NPM -Alternative Architecture Dojo
TypeScriptにおけるDDDのドメインオブジェクトの課題と対策,DDD domain object issues and countermeasures in TypeScript
グーグルの新マルチモーダルAI動画生成ツール「VideoPoet」がすごいことに - BRIDGE（ブリッジ）テクノロジー＆スタートアップ情報,"Google's new multi -modal AI video generation tool ""VideOpoet"" is amazing -Bridge (Bridge) Technology & Startup Information"
弘法も筆の誤り、あるいは、DBバックアップのリストアテストはしたほうが良い話,Kobo is also a story that is better to make a brush or a DB backup list.
TypeScriptの変更点まとめ ──新しい演算子・トップレベルawait・usingについて,"Changes in TypeScript ── About new operators, top level AWAIT, using"
理想のType-C充電器を購入遍歴から考えた　さよならLightning時代の選び方【いつモノコト】,Ideal Type-C charger How to choose from the Purchase View of the Lightning Age [When Monokoto]
世界の人々は何を「高価」だと思っているのかをGoogle検索から読み解く,"Read from Google Search what people in the world think is ""expensive"""
ソフトバンクなど、障害物に強い“自己修復ビーム”の300GHz帯テラヘルツ無線通信技術,"300GHz zero -band Terahertz radio communication technology of ""self -restoration beam"" that is resistant to obstacles such as SoftBank"
「Microsoft Loop」で作成したテーブルを「Excel」にエクスポートすることが可能に／,"It is possible to export the table created in ""Microsoft Loop"" to ""Excel"" /"
"1万6,384レベル筆圧感知、Adobe RGB 97%の本格16型液タブが7万円台!? XPPen Artist Pro 16 (Gen 2)を漫画家ざら先生に試してもらった ～【オリジナル高解像度イラスト特典アリ】[Sponsored]","16,384 level pressure sensitivity, ADOBE RGB 97%full -scale 16 -inch liquid tab!? Xppen Artist Pro 16 (Gen 2) was asked by a manga artist Zara -[Original high resolution illustration benefitsAli] [Sponsored]"
東京都が推進する「舟旅通勤」を体験　日本橋～豊洲の景色を船から楽しむ,"Experience the ""boat travel commuting"" promoted by Tokyo from the ship to the scenery of Nihonbashi -Toyosu"
ActionDispatch等をスタンドアローンで動かしてミニマムなRailsのような何かをDIYしたらRailsともっと仲良くなれた話 - Qiita,"If you do something like a minimal RAILS, you can get along with Rails more with Rails -Qiita"
最近気に入っているOSSを淡々と紹介する,Introducing your favorite OSS recently
COMPUTEXで話題の完全ファンレスPCケース、Streacom「SG10」正式発表 - エルミタージュ秋葉原,"Completed full fanless PC case, StreaCom ""SG10"" official announcement -Ermitage Akihabara"
2023年バズったもの,2023
「定年まで逃げ切れなかった」デイリーポータルZ独立　林さんに聞く不安と希望「もう一度、インターネットらしく」,"""I couldn't escape to the retirement age"" Daily Portal Z Anxiety and Hope to hear from the independent forest ""Once again, like the Internet"""
複数の検証環境でのDB相乗り化 - freee Developers Hub,DB phase riding in multiple verification environments -freee developers Hub
ESLintのローカルルールで独自のコーディング規約を実装する - ドワンゴ教育サービス開発者ブログ,Implement your own coding rules with local rules of ESLINT -Dwango Education Service Developer Blog
一休レストランの XState 導入記 - 一休.com Developers Blog,Xstate introduction of Ippe Restaurant -Ikyu.com Developers Blog
OpenAI、JavaScript/TypeScriptランタイム「Deno」の公式SDKをリリース,"Openai, JavaScript/TypeScript Release the official SDK of ""DENO"""
秒間100枚以上の画像を生成できる爆速画像生成パイプライン「StreamDiffusion」が登場,"The explosive speed image generated pipeline ""StreamDiffusion"" that can generate more than 100 images per second has appeared"
オープンソースのCSSフレームワーク「Tailwind CSS 3.4」がリリース,"Open source CSS framework ""Tailwind CSS 3.4"" is released"
楽天モバイルの市場シェアは2.4％、総務省まとめで9月末時点,"Rakuten Mobile market share is 2.4 %, as of the end of September in summary of the Ministry of Internal Affairs and Communications."
エンジニア急増中のクラスターが編み出したリモートワークのベストプラクティスとは？,What is the best practices of remote work created by clusters rapidly?
僕が考える テックブログを書く意義 と 書き方のすゝめ,The significance of writing a tech blog that I think and how to write
生成AI、使いこなしの最前線！ AIフェスティバル受賞者8組の「取り組み方」とは？[Sponsored],"Produced AI, the forefront of masterpiece!What is the ""approach"" of 8 AI Festival winners?[Sponsored]"
「仮説」を気軽に使うと事故になるので気を付けていること｜データ分析とインテリジェンス,"Be careful because if you use ""hypothesis"" casually, you will be an accident | Data analysis and intelligence"
「NTT法見直し」第1次報告書案が示される、有識者会合は研究関連の義務と外国人役員規制で意見交換,"""NTT Law Review"" The first report is shown, and the expert meetings are exchanged for research -related obligations and foreign officers regulations"
