Japanese Title,English Title
内発的動機で駆動する『個人主義ユートピア』を、外発的動機で動かされる『資本主義ディストピア』に変えられてしまわないために - 自意識高い系男子,"""Individual -based utopia"" driven by internal motivation is not changed to ""capitalist dystopia"" that is moved by external motivation -Self -conscious boys"
連合の女性会長はなぜ左派男性から嫌われているか,Why is the female chairman hated by left -wing men?
医学部1年の時に、「医師を志した理由は祖父が癌で亡くなったのが悔しかったから」とプレゼンしてた奴がいつの間にか美容外科で働いてた,"In the first year of the medical school, a person who presented a cosmetic surgery, saying, ""I was sorry that my grandfather died of cancer because I wanted to be a doctor."""
コロナ感染、心不全のリスク高まる可能性　理研など研究 | 毎日新聞,Research on Corona infection and heart failure to increase the risk of scoring | Mainichi Shimbun
＞何年もかけてイスラエルを油断させつつ武器を溜め込み、 誤認がある。「..,"> There is a misconception of weapons, accumulating weapons while being careless over the years."".."
「預けてもいない印鑑、無断で押された」受給者の女性が訴え　桐生市生活保護問題　市は当初虚偽説明：東京新聞 TOKYO Web,"""Seals that have not been deposited, pushed without permission"" are complained of the recipient of Kiryu City Welfare Problem, which is initially false explanation: Tokyo Shimbun TOKYO Web"
安倍派幹部、裏金還流把握か　22年、廃止決定後に撤回　パー券事件：朝日新聞デジタル,"Abe faction executives, back gold returns or 22 years, withdrawal after deciding abolition parrots: Asahi Shimbun Digital"
【独自】税金投入「リング」に便乗して大林組が垂れ幕を掲げて大宣伝…車輪がないのに空飛ぶクルマ、大阪万博にむしゃぶりつく地獄絵図（現代ビジネス） - Yahoo!ニュース,"[Independent] Tax issuance, Obayashi -gumi raised a banner with a banner of the ""ring"" and advertised ... Hell paintings that flew in the Osaka Expo without wheels (modern business) --Yahoo! News"
中学受験で躍進する中国人｢裏SAPIX｣の驚愕実態,"The surprise of the Chinese ""back SAPIX"" who is making a breakthrough in the junior high school exam"
「軽トラは田舎に不可欠。乗るしかない」　ダイハツがシェア6割の鹿児島、農家もディーラーも困惑（南日本新聞） - Yahoo!ニュース,"""Light tigers are essential in the countryside. You have to ride."" Daihatsu has a share of 60 %, and both farmers and dealers are confused (South Nippon Shimbun) --Yahoo! News"
発言していない内容が識者コメントとして番組に　テレビ朝日「二重の大きな過ち」を謝罪,"The content that has not made a statement apologizes to the program as an expert's comment for the TV Asahi ""double mistakes"""
